trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded,rattlesnakes,ticks,posionivy,falling,latitude,longitude
Lewis and Clark Park Hike,out-and-back,3.0,160,100,Easy,Year-Round,Yes,No,Sometimes,0,0,0,0,45.42056,-122.55284
Little Beacon Rock Loop Hike,loop,1.6,730,375,Easy,Year round,Yes,No,Yes,0,0,0,0,45.63279,-122.01973
Mount Defiance from Wahtum Lake Road Hike,out-and-back,3.2,4959,1145,Easy,May-Nov,Yes,No,No,0,0,0,0,45.63621,-121.74248
Mud Lake Hike,out-and-back,7.4,4480,1400,Moderate,Summer into Fall,Yes,es,No,0,0,0,0,45.57737,-121.79263
Multnomah Falls Hike,out-and-back,2.4,895,870,Moderate,Year-round,Yes,No,Very,0,0,0,0,45.57787,-122.11727
Multnomah-Wahkeena Loop Hike,loop,4.9,1560,1600,Moderate,Year round (occasional snow/ice in winter),Yes,No,Yes,0,0,0,0,45.57769,-122.11722
Nellie Corser Loop Hike,loop,0.8,1215,275,Easy,Spring through fall,Yes,No,No,0,0,0,0,45.6378,-122.0826
Nick Eaton Falls Hike,out-and-back,4.2,1020,970,Easy,All year,Yes,No,Yes,0,0,0,0,45.68283,-121.84237
Pepper Mountain Hike,out-and-back,2.6,2149,700,Easy,Spring to late fall,Yes,No,No,0,0,0,0,45.45202,-122.87016
Pool of the Winds Hike,out-and-back,2.2,1035,700,Easy,Year round,Yes,No,Yes,0,0,0,0,45.63279,-122.01973
Rainy Lake Loop Hike,loop,3.2,4736,755,Easy,Summer through fall,Yes,No,No,0,0,0,0,45.57736,-121.79282
River to Rock Loop Hike,loop,3.1,285,270,Easy,All year,Yes,No,No,0,0,0,0,45.38337,-122.7408
Rooster Rock Loop Hike,loop,2.7,210,240,Easy,Year round,Yes,No,No,0,0,0,0,45.54731,-122.2341
Rooster Rock Wagon Road Hike,out-and-back,4.8,845,910,Easy,All year,Yes,No,No,0,0,0,0,45.5345,-122.2607
Sams Walker Loop Hike,loop,1.1,45,15,Easy,All year,Yes,No,No,0,0,0,0,45.6118,-122.052
Sandy River Delta Loop Hike,loop,4.4,35,40,Easy,Year round,Yes,No,Yes,0,0,0,0,45.54566,-122.37466
Shady Glen Loop Hike,loop,0.6,105,55,Easy,All year,Yes,No,No,0,0,0,0,45.641,-121.9266
Shepperds Dell Hike,out-and-back,0.2,155,45,Easy,All,Yes,No,No,0,0,0,0,45.54687,-122.19751
Sherrard Point Hike,out-and-back,0.6,4055,170,Easy,Apr-Oct,Yes,No,Yes,0,0,0,0,45.52919,-122.08819
Skamania Lodge Loop Hike,loop,3.3,405,310,Easy,All year,Yes,No,No,0,0,0,0,45.7253,-121.73
St. Cloud Loop Hike,loop,1.0,50,25,Easy,All year,Yes,No,No,0,0,0,0,45.7253,-121.73
Starvation Creek Waterfalls Hike,out-and-back,4.3,285,145,Easy,All year,Yes,No,Yes,0,0,0,0,45.68839,-121.69008
Strawberry Island Loop Hike,loop,3.2,165,150,Easy,All year,Yes,No,No,0,0,0,0,45.7253,-121.73
Tanner Creek to Eagle Creek Loop Hike,loop,5.0,605,835,Moderate,Year-round except during winter storms,"Yes, for older kids",No,No,0,0,0,0,45.63674,-121.91974
Tomlike Mountain Hike,loop,6.8,4555,1565,Moderate,Summer into Fall,"Yes, for older kids",No,No,0,0,0,0,45.57737,-121.79264
Viento State Park Hike,out-and-back,5.8,325,490,Moderate,All year,Yes,No,Yes,0,0,0,0,45.69617,-121.66846
Wahkeena Falls Hike,out-and-back,2.8,645,565,Moderate,All year,Yes,No,Yes,0,0,0,0,45.5774,-122.11703
Warren Lake to Mount Defiance Hike,loop,4.7,4959,1340,Moderate,Summer into fall,"Yes, for older kids",Yes,No,0,0,0,0,45.68838,-121.69039
Wauna Viewpoint from Eagle Creek Hike,out-and-back,3.4,1080,1030,Moderate,Year round,Yes,No,No,0,0,0,0,45.63674,-121.91974
Young Creek Bottomland Hike,out-and-back,4.3,45,40,Easy,Summer through falll,Yes,No,No,0,0,0,0,45.54277,-122.23769
