trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded
Elowah Falls Loop Hike,loop,2.1,255.0,340.0,Easy,Year-round except during winter storms,Yes,No,"Yes, as far as the falls"
Fairy Falls Loop Hike,loop,3.4,1575.0,1495.0,Moderate,All year,Yes,No,Yes
Fort Cascades Loop Hike,loop,1.3,60.0,15.0,Easy,year-round,Yes,No,No
Fort Rains Hike,out-and-back,1.8,175.0,80.0,Easy,Year round,Yes,No,No
Gillette Lake Hike,out-and-back,5.6,435.0,650.0,Easy,Year round,Yes,No,Yes
Hamilton Creek Loop Hike,loop,2.3,75.0,20.0,Easy,All year,Yes,No,No
Herman Creek Hike,out-and-back,15.4,2925.0,2970.0,Difficult,All year,"Yes, for a shorter distance",Yes,On summer weekends
Herman Creek Pinnacles Hike,out-and-back,4.6,970.0,1305.0,Easy,All year,Yes,No,"Yes, on weekends"
Herman Creek-Wyeth Hike,out-and-back,10.8,960.0,2175.0,Moderate,Year-Round,Yes (as a car shuttle),No,No
Hood River Pipeline Hike,out-and-back,3.3,200.0,110.0,Easy,All year,Yes,No,On summer weekends
Hood River Waterfront Hike,out-and-back,6.4,95.0,15.0,Easy,All year,Yes,No,Yes
Horsetail Falls Loop Hike,loop,2.6,395.0,565.0,Easy,"All year, except during winter storms",Yes,No,Yes
Indian Creek Hike,out-and-back,3.2,480.0,250.0,Easy,All year,Yes,No,No
Klickitat Canyon Hike,out-and-back,6.8,645.0,100.0,Easy,All year,Yes,No,No
Klickitat Trail: Klickitat Mineral Springs Hike,out-and-back,5.2,545.0,50.0,Easy,All year,Yes,No,No
Klickitat Trail: Lyle to Klickitat Hike,point-to-point,,465.0,340.0,Moderate,All year,Yes,No,No
Klickitat Trail: Swale Canyon Hike,point-to-point,,1560.0,1010.0,Moderate,Fall through spring (closed in summer),Yes,No,No
Labyrinth Hike,out-and-back,3.6,1005.0,915.0,Easy,All year,Yes,No,Yes
Labyrinth-Coyote Wall Loop Hike,loop,7.3,1655.0,1790.0,Moderate,All year,"Yes, for older kids",No,Yes
Larch Mountain Crater Loop Hike,loop,6.3,4055.0,1310.0,Moderate,May - November,Yes,No,No
Latourell Falls Loop Hike,loop,2.4,620.0,625.0,Easy,Year round except during winter storms,Yes,No,Yes
Lewis and Clark Park Hike,out-and-back,3.0,160.0,100.0,Easy,Year-Round,Yes,No,Sometimes
Little Beacon Rock Loop Hike,loop,1.6,730.0,375.0,Easy,Year round,Yes,No,Yes
Lyle Cherry Orchard Hike,loop,6.5,1245.0,1340.0,Moderate,"All year, best in spring and fall","Yes, for older kids",No,On spring weekends
Maryhill Loops Hike,loop,5.9,1560.0,820.0,Moderate,Year round,Yes,No,No
McCall Point Hike,out-and-back,3.4,1722.0,1070.0,Moderate,March 1st to October 31st (closed in the wet season to prevent erosion),"Yes, for older kids",No,Yes
Memaloose Hills Hike,out-and-back,3.2,957.0,550.0,Easy,All year,Yes,No,No
Mosier Plateau Hike,out-and-back,3.5,620.0,760.0,Easy,All year,Yes,No,Yes
Mosier Twin Tunnels Hike,point-to-point,8.5,530.0,1000.0,Moderate,Year round,Yes,No,Yes
Mount Defiance from Wahtum Lake Road Hike,out-and-back,3.2,4959.0,1145.0,Easy,May-Nov,Yes,No,No
Mud Lake Hike,out-and-back,7.4,4480.0,1400.0,Moderate,Summer into Fall,Yes,es,No
Multnomah Falls Hike,,,895.0,870.0,Moderate,Year-round,Yes,No,Very
Multnomah-Wahkeena Loop Hike,loop,4.9,1560.0,1600.0,Moderate,Year round (occasional snow/ice in winter),Yes,No,Yes
Nellie Corser Loop Hike,loop,0.8,1215.0,275.0,Easy,Spring through fall,Yes,No,No
Nick Eaton Falls Hike,out-and-back,4.2,1020.0,970.0,Easy,All year,Yes,No,Yes
Pepper Mountain Hike,out-and-back,2.6,2149.0,700.0,Easy,Spring to late fall,Yes,No,No
Ponytail Falls Hike,out-and-back,0.8,350.0,320.0,Easy,Year-round except during winter storms,Yes,No,Yes
Pool of the Winds Hike,out-and-back,2.2,1035.0,700.0,Easy,Year round,Yes,No,Yes
Punchbowl Falls Park Hike,out-and-back,2.1,910.0,210.0,Easy,All year,Yes,No,On summer weekends
Rainy Lake Loop Hike,loop,3.2,4736.0,755.0,Easy,Summer through fall,Yes,No,No
River to Rock Loop Hike,loop,3.1,285.0,270.0,Easy,All year,Yes,No,No
Rooster Rock Loop Hike,loop,2.7,210.0,240.0,Easy,Year round,Yes,No,No
Rooster Rock Wagon Road Hike,out-and-back,4.8,845.0,910.0,Easy,All year,Yes,No,No
Rowena Plateau Hike,loop,2.2,710.0,240.0,Easy,Year round,Yes,No,Yes
Ruckel Ridge Loop Hike,loop,9.0,3700.0,3700.0,Difficult,May-October,Yes,No,No
Sams Walker Loop Hike,loop,1.1,45.0,15.0,Easy,All year,Yes,No,No
Sandy River Delta Loop Hike,loop,4.4,35.0,40.0,Easy,Year round,Yes,No,Yes
Shady Glen Loop Hike,loop,0.6,105.0,55.0,Easy,All year,Yes,No,No
She Who Watches Hike,out-and-back,0.6,240.0,45.0,Easy,Year round,Yes,No,Group tour
Shepperds Dell Hike,out-and-back,0.2,155.0,45.0,Easy,All,Yes,No,No
Sherrard Point Hike,out-and-back,0.6,4055.0,170.0,Easy,Apr-Oct,Yes,No,Yes
Skamania Lodge Loop Hike,loop,3.3,405.0,310.0,Easy,All year,Yes,No,No
Sorosis Park Loop Hike,loop,1.5,745.0,160.0,Easy,All year,Yes,No,No
Spearfish Lake Loop Hike,loop,2.2,225.0,45.0,Easy,Year round,Yes,No,Sometimes
St. Cloud Loop Hike,loop,1.0,50.0,25.0,Easy,All year,Yes,No,No
Starvation Creek Waterfalls Hike,out-and-back,4.3,285.0,145.0,Easy,All year,Yes,No,Yes
Strawberry Island Loop Hike,loop,3.2,165.0,150.0,Easy,All year,Yes,No,No
Tanner Creek to Eagle Creek Loop Hike,loop,5.0,605.0,835.0,Moderate,Year-round except during winter storms,"Yes, for older kids",No,No
The Dalles Riverfront Hike,out-and-back,6.6,210.0,100.0,Easy,All year,Yes,No,No
Tomlike Mountain Hike,loop,6.8,4555.0,1565.0,Moderate,Summer into Fall,"Yes, for older kids",No,No
Tracy Hill Loop Hike,loop,6.1,1840.0,1715.0,Moderate,Year round; spring is best,Yes,No,No
Triple Falls Hike,out-and-back,3.6,650.0,680.0,Moderate,Year round except during winter storms,Yes: but there are steep drop-offs,No,Yes
Upper McCord Creek Falls Hike,out-and-back,1.9,540.0,445.0,Easy,Year-round except during winter storms,Yes,No,Yes
Viento State Park Hike,out-and-back,5.8,325.0,490.0,Moderate,All year,Yes,No,Yes
Wahclella Falls Hike,out-and-back,2.4,335.0,320.0,Easy,Year round,Yes,No,Yes
Wahkeena Falls Hike,out-and-back,,645.0,565.0,Moderate,All year,Yes,No,Yes
Warren Lake to Mount Defiance Hike,loop,4.7,4959.0,1340.0,Moderate,Summer into fall,"Yes, for older kids",Yes,No
Wauna Viewpoint from Eagle Creek Hike,out-and-back,3.4,1080.0,1030.0,Moderate,Year round,Yes,No,No
Wind Mountain Hike,out-and-back,2.9,1907.0,1185.0,Moderate,Year round,Yes,No,No
Young Creek Bottomland Hike,out-and-back,4.3,45.0,40.0,Easy,Summer through falll,Yes,No,No
