trail_name,trail_type,distance(miles),high_point(feet),elevation_gain(feet),difficulty,seasons,family_friendly,backpackable,crowded,latitude,longitude
Beacon Rock Hike,out-and-back,1.8,848.0,680.0,Moderate,"Year round, except during ice storms",Yes,No,Yes,,
Bear Creek Greenway from Ashland,out-and-back,16.9,,157.0,Easy,,,,,42.21613,-122.7199
Bear Creek Greenway from Central Point,out-and-back,17.4,,666.0,Easy,,,,,42.37938,-122.89862
Bear Creek Greenway: South Medford,out-and-back,5.6,,121.0,Easy,,,,,42.3259,-122.86792
Bear Gulch to Tunnel Ridge Loop,loop,4.7,,685.0,Moderate,,,,,42.1584,-122.90326
Bear Lake Hike,out-and-back,2.6,4100.0,480.0,Easy,Summer/Fall,Yes,Yes,No,,
Bear Lake via Bear Creek Trail,out-and-back,31.9,,5006.0,Moderate,,,,,45.47171,-117.55928
"Bear Lake, Culver Lake, Looking Glass Lake",out-and-back,16.7,,4038.0,Hard,,,,,45.06811,-117.40659
Bear Point Trail,out-and-back,7.0,,2949.0,Hard,,,,,44.74286,-121.88889
Beaver Creek Falls Trail,out-and-back,1.3,,216.0,Easy,,,,,43.94307,-123.90237
Beaver Creek Loop Trail ,loop,2.9,,400.0,Easy,,,,,44.50175,-124.04191
Beaver Creek State Natural Area Via Kayak,out-and-back,2.3,,0.0,Easy,,,,,44.52049,-124.06964
Beaver Falls Trail,out-and-back,0.6,,78.0,Moderate,,,,,46.10392,-123.13004
Beaver and Cattail Ponds Trail,loop,2.4,,59.0,Easy,,,,,44.38977,-123.3231
Beazell Bird Loop Trail,loop,1.1,,95.0,Easy,,,,,44.65213,-123.42524
Beekman Loop Trail,loop,1.3,,321.0,Easy,,,,,42.30851,-122.97093
Belknap Hot Springs Resort,out-and-back,0.6,,137.0,Easy,,,,,44.19275,-122.05102
Belleview Lane to 333 Trail,out-and-back,1.7,,298.0,Moderate,,,,,42.34871,-124.4171
"Ben's Trail, Voodoo Trail, Grand Slam, Elv and Phil's Trail Loop",loop,10.2,,780.0,Moderate,,,,,44.0433,-121.38563
Ben's and Phil's Trail Extended Loop,loop,11.7,,875.0,Hard,,,,,44.04329,-121.38607
Bench Trail via Hells Canyon Trail,out-and-back,8.1,,1394.0,Moderate,,,,,45.07958,-116.78639
Bend 10k Course,loop,6.0,,170.0,Moderate,,,,,44.04741,-121.31903
Bend 5k,loop,3.0,,55.0,Easy,,,,,44.04735,-121.31893
Bend Half Marathon Course,loop,13.1,,600.0,Easy,,,,,44.04597,-121.31911
Bend Marathon Course,loop,26.2,,1141.0,Hard,,,,,44.04733,-121.31891
Benham Falls Campground to Dillon Falls,out-and-back,10.5,,442.0,Easy,,,,,43.93112,-121.41301
Benham Falls Trail,out-and-back,1.5,,42.0,Easy,,,,,43.93121,-121.41321
Benham Falls from Sunriver,out-and-back,6.4,,190.0,Easy,,,,,43.91377,-121.43693
Bennett Pass Road Out-and-Back,out-and-back,5.1,,853.0,Easy,,,,,45.31009,-121.64226
Benson Lake Trail,out-and-back,2.7,,377.0,Easy,,,,,44.21417,-121.8931
Benson Plateau Trail to Wahtum Lake Loop,out-and-back,20.3,,5531.0,Hard,,,,,45.645,-121.91828
Ben’s to Phil’s to Kent's Trail,loop,11.1,,816.0,Moderate,,,,,44.04329,-121.38563
Bessie Butte,out-and-back,1.5,,479.0,Moderate,,,,,43.95124,-121.26284
Betty Lake Trail,out-and-back,5.1,,410.0,Easy,,,,,43.69276,-122.0441
Beverly Beach State Park Campground,loop,1.5,,26.0,Easy,,,,,44.72864,-124.05693
Big Indian Gorge Trail,out-and-back,13.2,,1499.0,Hard,,,,,42.65563,-118.73131
Big Indian Gorge Trail to Little Blitzen Loop,loop,25.6,,5121.0,Hard,,,,,42.65622,-118.72404
Big Lake Campground Trail ,out-and-back,1.7,,62.0,Easy,,,,,44.37774,-121.87039
Big Obsidian Flow Trail,loop,0.6,,196.0,Easy,,,,,43.70648,-121.23583
Big Pine Loop,loop,0.7,,52.0,Easy,,,,,43.76992,-121.51841
Big Pine Loop Trail [CLOSED],loop,0.8,,49.0,Easy,,,,,42.45753,-123.67726
Big Spruce Trail,out-and-back,0.3,,16.0,Easy,,,,,45.48875,-123.96536
Big Stump Beach to Alsea River,out-and-back,3.5,,29.0,Moderate,,,,,44.37224,-124.09119
Big Tree Loop,loop,3.5,,1328.0,Moderate,,,,,42.09814,-123.40732
Big Tree Observation Site,out-and-back,3.3,,921.0,Moderate,,,,,42.81658,-124.013
Big Tree via Cougar Woods Trail,out-and-back,1.5,,78.0,Easy,,,,,43.7713,-121.52867
Bigelow Lakes Trail,out-and-back,1.0,,324.0,Moderate,,,,,42.09389,-123.37454
Bingen Gap Loop Trail [PRIVATE PROPERTY/CLOSED],loop,3.9,,1105.0,Moderate,,,,,45.7037,-121.48702
Bingham Ridge Trail,out-and-back,8.5,,1528.0,Hard,,,,,44.60584,-121.90928
Birch Trail to Wildwood Trail,out-and-back,6.3,,501.0,Moderate,,,,,45.53373,-122.73314
Black Butte Trail,out-and-back,3.9,,1538.0,Moderate,,,,,44.39514,-121.64819
Black Canyon Trail,out-and-back,3.8,,367.0,Hard,,,,,44.33381,-119.56521
Black Crater Trail,out-and-back,7.0,,2355.0,Moderate,,,,,44.28484,-121.76606
Black Rock Mount Brown Loop,loop,5.1,,1269.0,Hard,,,,,44.87282,-123.49575
Blacklock Point Trail,out-and-back,4.3,,308.0,Moderate,,,,,42.85698,-124.52006
Blacklock to Floras Lake Loop,loop,7.3,,226.0,Moderate,,,,,42.85709,-124.52004
"Blackmail Ridge, Middle Ridge, and North Boundary Road Loop",loop,7.4,,1745.0,Moderate,,,,,43.31961,-123.25411
Blacktail Ridge,out-and-back,3.8,,1043.0,Moderate,,,,,43.31972,-123.25405
Blair Lake Trail,out-and-back,17.1,,3631.0,Hard,,,,,43.81123,-122.16786
Blanton Ridge Trail to Ridgeline Trail to Willamette Trail Head,out-and-back,3.4,,698.0,Easy,,,,,44.00939,-123.11264
Bloom Lake Trail,out-and-back,2.5,,515.0,Easy,,,,,45.83786,-123.51347
Blue Basin Overlook Trail,loop,4.0,,898.0,Moderate,,,,,44.59562,-119.63108
Blue Canyon Trail to the South Blue Lake Group,out-and-back,6.3,,1240.0,Moderate,,,,,42.52959,-122.297
Blue Grotto Trail,out-and-back,2.3,,252.0,Easy,,,,,42.69512,-122.62053
"Blue Lake Trail, Lake Ann, Jorn Lake, Bowerman Lake Trail, Minto Pass, Marion Lake Trail",loop,14.4,,2519.0,Hard,,,,,44.57698,-121.8944
Blue Lake via Minam Lake Trail,out-and-back,13.9,,2375.0,Hard,,,,,45.24974,-117.37649
Bluebill Lake Trail,out-and-back,1.2,,19.0,Easy,,,,,43.45111,-124.26014
Bobby Lake Trail via Waldo Lake Highway,loop,6.6,,374.0,Easy,,,,,43.67232,-122.01917
Bohemia Mountain Trail and Ghost Town,out-and-back,2.9,,918.0,Moderate,,,,,43.58184,-122.65571
Bolan Lake Trail,out-and-back,1.7,,547.0,Moderate,,,,,42.02365,-123.45826
Bolt Mountain Trail,out-and-back,6.8,,1282.0,Hard,,,,,42.35596,-123.40716
Bonanza Trail,out-and-back,9.4,,3034.0,Hard,,,,,45.31848,-121.95538
Bonneville Dam [CLOSED],out-and-back,1.5,,101.0,Easy,,,,,45.63476,-121.95311
Bonny Lakes via Tenderfoot Wagon Road and Nooney Lakes Trail,out-and-back,7.9,,1391.0,Moderate,,,,,45.17749,-117.1034
"Boone's Ferry, West Horse, Cedar Loop",loop,3.1,,377.0,Easy,,,,,45.44265,-122.68614
"Boones Ferry, Englewood, Poget Creek, and West Horse Loop ",loop,2.5,,367.0,Easy,,,,,45.4426,-122.68658
Borax Lake Hot Springs,out-and-back,1.0,,19.0,Easy,,,,,42.32604,-118.61106
Boulder Lake Trail,out-and-back,1.3,,193.0,Moderate,,,,,45.25817,-121.55921
Boulder Lakes Loop,out-and-back,16.6,,2896.0,Moderate,,,,,45.31011,-121.6417
Boulder Ridge Short Loop,loop,0.7,,26.0,Easy,,,,,45.3502,-121.99212
Boundary Springs Trail,out-and-back,5.1,,475.0,Moderate,,,,,43.09086,-122.22131
"Boundary, Meadow, Confluence and Sandy River Delta Loop",loop,3.3,,59.0,Easy,,,,,45.54654,-122.37409
Bowerman Lakes Trail,out-and-back,20.2,,2801.0,Hard,,,,,44.4255,-121.84931
Bowman Trail,out-and-back,16.9,,5000.0,Hard,,,,,45.29385,-117.39456
Boyds Cave,loop,0.7,,39.0,Easy,,,,,43.9381,-121.19929
Bradley Ridge Trail to Boulder Creek Trail [CLOSED],out-and-back,8.6,,1683.0,Moderate,,,,,43.30351,-122.48824
Bradley Ridge Trail to Dog Creek Indian Cave,out-and-back,5.1,,997.0,Moderate,,,,,43.32502,-122.61828
Brandis Natural Area Loop,out-and-back,0.9,,157.0,Moderate,,,,,44.59693,-123.27438
Breitenbush Lake OHV Trail,out-and-back,15.0,,2027.0,Hard,,,,,44.81071,-121.88173
Brice Creek Falls,out-and-back,0.7,,52.0,Easy,,,,,43.67102,-122.7079
Brice Creek Trail,out-and-back,8.1,,1856.0,Moderate,,,,,43.67123,-122.70788
Bridal Veil Falls Hike,out-and-back,1.4,230.0,205.0,Easy,All year,Yes,No,Yes,,
Bridal Veil Falls Trail,out-and-back,0.5,,78.0,Easy,,,,,45.5536,-122.1824
Bridge and Orchard Loop,loop,3.2,,52.0,Easy,,,,,44.92425,-123.0734
Bridge of the Gods,loop,88.7,,4593.0,Moderate,,,,,45.51637,-122.58528
Briggs Creek Trail,out-and-back,8.1,,879.0,Moderate,,,,,42.44086,-123.68749
Britt Canyon to Oregon Trail and Panorama Point,loop,1.6,,223.0,Moderate,,,,,42.3142,-122.97267
Britt Ridge Loop,loop,1.1,,144.0,Easy,,,,,42.31412,-122.97322
Broken Hand Summit via Broken Top Trail,out-and-back,6.3,,1614.0,Hard,,,,,44.05592,-121.67552
Broken Top Loop Trail,loop,25.8,,4189.0,Moderate,,,,,44.10095,-121.62237
Broken Top Summit,out-and-back,14.0,,3848.0,Moderate,,,,,44.03091,-121.7361
Broken Top Trail to No Name Lake and Bend Glacier,out-and-back,15.2,,2880.0,Hard,,,,,44.02324,-121.68267
Brookings Harbor Center Jetty Walk,out-and-back,0.7,,3.0,Easy,,,,,42.05216,-124.26979
Brookings Harbor Walk,loop,3.3,,108.0,Easy,,,,,42.0522,-124.26959
Brookings North Jetty Beach,out-and-back,1.1,,65.0,Moderate,,,,,42.04768,-124.27164
Brookings Sign Beach,out-and-back,1.7,,118.0,Moderate,,,,,42.08294,-124.32316
Brooks Old Logging Trail,out-and-back,2.3,,413.0,Easy,,,,,42.00347,-124.18154
Browder Ridge Trail to Heart Lake,out-and-back,11.3,,2900.0,Hard,,,,,44.37346,-122.13445
Brown Mountain Trail,out-and-back,5.6,,583.0,Easy,,,,,42.39654,-122.28561
Browns Camp Area Loop Trail,loop,6.5,,1007.0,Moderate,,,,,45.61012,-123.34966
Bryant Woods Park Loop,loop,0.8,,13.0,Easy,,,,,45.38665,-122.72089
Buck Creek on Larch Mountain Hike,out-and-back,1.8,1680.0,310.0,Easy,"All year, except during winter snows",Yes,No,No,,
Buck Lake Trail #728,out-and-back,0.9,,242.0,Moderate,,,,,45.11348,-121.86328
Buck Mountain Trail,loop,8.0,,1053.0,Moderate,,,,,44.86396,-122.64244
"Buck Mountain, Lake Creek and Buck Creek Loop",loop,16.5,,3231.0,Hard,,,,,45.71822,-118.18702
Buck Peak via Lakeshore and Huckleberry Mountain Trail ,out-and-back,13.7,,2555.0,Moderate,,,,,45.49699,-121.81913
Buck Point Hike,out-and-back,1.8,710.0,600.0,Easy,Year-round,Yes,No,No,,
Buck Prairie Trail,out-and-back,9.3,,1305.0,Easy,,,,,42.22251,-122.4678
Buckeye Lake Trail,out-and-back,3.9,,892.0,Moderate,,,,,43.08011,-122.54655
Bull of the Woods Wilderness Loop,loop,30.1,,6673.0,Hard,,,,,44.90007,-122.11594
"Bull of the Woods, Mother Lodge, Pansy Lake, Dickey Lake Trail Loop",loop,9.9,,2345.0,Hard,,,,,44.9227,-122.10252
Bullards Beach,out-and-back,1.0,,42.0,Easy,,,,,43.14555,-124.41569
Bullards Beach North Loop Trail ,loop,5.7,,131.0,Moderate,,,,,43.14779,-124.41053
Bumping Knots Loop,loop,6.4,,1099.0,Moderate,,,,,45.73655,-123.19244
Bunchgrass Ridge East Approach,out-and-back,10.2,,2014.0,Moderate,,,,,43.68638,-122.16006
Bunchgrass Ridge West Approach,out-and-back,9.7,,2824.0,Hard,,,,,43.73726,-122.28522
Burma Road Loop,loop,7.0,,1151.0,Moderate,,,,,44.36596,-121.13712
Burnside Park to Maddax Woods Trail,out-and-back,1.4,,200.0,Easy,,,,,45.37328,-122.62028
Burnt Cabin via South Fork Walla Walla Trail,out-and-back,17.0,,3979.0,Hard,,,,,45.83023,-118.16792
Burnt Lake South Trail to East Zigzag Mountain Trail,loop,7.7,,1669.0,Hard,,,,,45.3244,-121.85709
Burnt Lake Trail,out-and-back,7.0,,1466.0,Moderate,,,,,45.37223,-121.82256
Butte Creek Falls Trail,loop,1.0,,183.0,Easy,,,,,44.92118,-122.51141
By-Gully Bike/Jog Path,out-and-back,2.6,,29.0,Easy,,,,,44.0604,-123.04784
Cabell Marsh Trail,out-and-back,2.1,,65.0,Easy,,,,,44.41853,-123.32468
Cabin Creek & Hole-in-the Wall Falls via Starvation Creek Trail,out-and-back,1.8,,200.0,Easy,,,,,45.68837,-121.68995
Cabot Lake Trail,out-and-back,4.4,,561.0,Moderate,,,,,44.57389,-121.73191
Calloway Creek Trail,loop,3.7,,416.0,Moderate,,,,,44.65695,-123.23509
Calloway Creek Trail Loop,loop,2.3,,209.0,Easy,,,,,44.6562,-123.23192
Calloway Creek to Cap House Loop Trail,loop,2.6,,314.0,Moderate,,,,,44.6687,-123.22277
Calloway Intensive Loop Trail,loop,3.2,,380.0,Moderate,,,,,44.65659,-123.23219
Calsh Trail,out-and-back,1.8,,410.0,Moderate,,,,,42.04295,-123.10984
Camassia Preserve Loop Trail,loop,1.5,,187.0,Easy,,,,,45.35928,-122.6183
Camp Adair Pond Trail,out-and-back,2.2,,19.0,Easy,,,,,44.69983,-123.20646
Camp Adair to Oak Creek,out-and-back,11.0,,1578.0,Moderate,,,,,44.66855,-123.22292
Camp Baker [PRIVATE PROPERTY],loop,1.6,,134.0,Easy,,,,,43.88981,-124.09639
Camp Benson Falls Hike,out-and-back,4.9,460.0,430.0,Easy,All year,Yes,No,No,,
Camp Kettle Creek Falls OHV Trail,loop,40.2,,5567.0,Hard,,,,,43.59626,-117.11221
Canby Ferry Loop,loop,20.2,,1912.0,Moderate,,,,,45.33899,-122.65227
Canemah Bluffs Trail,loop,0.1,,3.0,Easy,,,,,45.34489,-122.62541
Canemah Pioneer Cemetery [PRIVATE PROPERTY],loop,1.6,,200.0,Moderate,,,,,45.34489,-122.62547
Cannon Beach,out-and-back,2.8,,16.0,Easy,,,,,45.87707,-123.96192
Cannon Trail,out-and-back,0.7,,144.0,Easy,,,,,45.58894,-122.79048
Cantrall Creek Trail,out-and-back,1.7,,334.0,Easy,,,,,42.32904,-123.00927
Canyon Creek Meadows Loop,loop,6.6,,1066.0,Moderate,,,,,44.49196,-121.79439
Canyon Mountain Trail,out-and-back,28.3,,6181.0,Hard,,,,,44.36225,-118.92651
Canyon Trail and Homestead Trail,out-and-back,2.3,,354.0,Easy,,,,,44.36683,-121.13628
Cape Arago Lighthouse Trail [PRIVATE PROPERTY],out-and-back,0.5,,62.0,Easy,,,,,43.33868,-124.37397
Cape Arago Loop Trail,loop,1.2,,59.0,Easy,,,,,43.32499,-124.3857
Cape Arago North Cove Trail,out-and-back,0.2,,52.0,Easy,,,,,43.30677,-124.40066
Cape Arago South Cove Trail,out-and-back,0.2,,52.0,Easy,,,,,43.30507,-124.39806
Cape Blanco Coastal Trail,out-and-back,0.8,,206.0,Easy,,,,,42.83557,-124.55574
Cape Blanco Horse Trail,loop,1.4,,16.0,Easy,,,,,42.83294,-124.54789
Cape Blanco Lighthouse,loop,0.8,,91.0,Easy,,,,,42.8356,-124.55768
Cape Blanco No-Name Trail,loop,0.7,,42.0,Easy,,,,,42.835,-124.52772
Cape Blanco North Shore Trail,out-and-back,0.5,,144.0,Moderate,,,,,42.83547,-124.55746
Cape Cove Trail,out-and-back,1.0,,137.0,Easy,,,,,44.28049,-124.10785
Cape Falcon Trail,out-and-back,4.6,,623.0,Moderate,,,,,45.76297,-123.95604
Cape Horn Overlooks Hike,out-and-back,,1300.0,11851795.0,Moderate,All year,Yes,No,Yes,,
